캠페인,202101-유리카-(주) 데일리앤코-주식회사 에코마케팅-NP_M_0118 - 유리카
보고서이름,광고소재별 리포트_에코마케팅 ( 주식회사 에코마케팅 )
생성자,에코마케팅 ( 주식회사 에코마케팅 )
통계기간,2021.01.18.~2021.01.24.
필터항목,없음

"광고상품","상품유형","광고소재","일자","시간","집행금액","광고비","노출수","클릭수","클릭률(%)","노출비용(원/1천회)","클릭비용(원/1회)"
"M_신제품검색","검색_이미지형","브세_브러쉬세척기/눅눅새것리뉴얼","2021-01-18","07-08시","596","596","2","1","50.00","298000","596"
"M_신제품검색","검색_이미지형","브세_브러쉬세척기/할인무배새해","2021-01-18","08-09시","596","596","1","1","100.00","596000","596"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클","2021-01-18","08-09시","136","136","1","0","0.00","136140","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마","2021-01-18","08-09시","136","136","1","0","0.00","136140","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마히든","2021-01-18","08-09시","272","272","2","0","0.00","136145","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클히든","2021-01-18","08-09시","408","408","3","0","0.00","136143","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","08-09시","1219","1219","10","0","0.00","121905","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","08-09시","1585","1585","13","0","0.00","121905","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","08-09시","1341","1341","11","0","0.00","121905","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","08-09시","975","975","8","0","0.00","121905","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/할인무배아침하지마리","2021-01-18","08-09시","149","149","1","0","0.00","149000","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/짧은마스또렷리","2021-01-18","08-09시","298","298","2","1","50.00","149000","298"
"M_신제품검색","검색_이미지형"," 링거펜_눈썹영양제/인상좌우빗으면","2021-01-18","08-09시","149","149","1","0","0.00","149000","0"
"M_신제품검색","검색_이미지형","브세_브러쉬세척기/할인무배새해","2021-01-18","09-10시","397","397","2","1","50.00","198665","397"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클","2021-01-18","09-10시","381","381","2","0","0.00","190600","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마","2021-01-18","09-10시","191","191","1","0","0.00","190600","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마히든","2021-01-18","09-10시","191","191","1","0","0.00","190600","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클히든","2021-01-18","09-10시","191","191","1","0","0.00","190600","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","09-10시","1072","1072","9","0","0.00","119070","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","09-10시","1191","1191","10","3","30.00","119070","397"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","09-10시","1191","1191","10","0","0.00","119070","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","09-10시","1667","1667","14","0","0.00","119070","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/할인무배아침하지마리","2021-01-18","09-10시","66","66","1","0","0.00","66220","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/짧은마스또렷리","2021-01-18","09-10시","132","132","2","0","0.00","66220","0"
"M_신제품검색","검색_이미지형"," 링거펜_눈썹영양제/인상좌우빗으면","2021-01-18","09-10시","132","132","2","0","0.00","66220","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/마스또렷빗으면","2021-01-18","09-10시","66","66","1","0","0.00","66220","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/빈약인상소리","2021-01-18","09-10시","199","199","3","0","0.00","66223","0"
"M_신제품검색","검색_이미지형","브세_브러쉬세척기/눅눅새것리뉴얼","2021-01-18","09-10시","199","199","1","0","0.00","198670","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마히든","2021-01-18","10-11시","408","408","3","0","0.00","136143","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클히든","2021-01-18","10-11시","545","545","4","1","25.00","136143","545"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","10-11시","1680","1680","21","1","4.76","80000","1680"
